barrio,precio_prom,ambientes
ALMAGRO,12758,2
ALMAGRO,13201,2
ALMAGRO,13775,2
ALMAGRO,13441,2
ALMAGRO,13783,2
ALMAGRO,14452,2
ALMAGRO,14515,2
ALMAGRO,15842,2
BALVANERA,11859,2
BALVANERA,12909,2
BALVANERA,13001,2
BALVANERA,12743,2
BALVANERA,13231,2
BALVANERA,13495,2
BALVANERA,14136,2
BALVANERA,14274,2
BELGRANO,14245,2
BELGRANO,15325,2
BELGRANO,16295,2
BELGRANO,16279,2
BELGRANO,15993,2
BELGRANO,16138,2
BELGRANO,16582,2
BELGRANO,17152,2
CABALLITO,12627,2
CABALLITO,13232,2
CABALLITO,13361,2
CABALLITO,13675,2
CABALLITO,13599,2
CABALLITO,14324,2
CABALLITO,14768,2
CABALLITO,14832,2
COLEGIALES,13992,2
COLEGIALES,16253,2
COLEGIALES,16642,2
COLEGIALES,16044,2
COLEGIALES,16303,2
FLORES,11144,2
FLORES,11888,2
FLORES,12403,2
FLORES,12561,2
FLORES,12917,2
FLORES,12723,2
FLORES,13141,2
FLORES,13340,2
MONSERRAT,13657,2
MONSERRAT,13499,2
MONSERRAT,14112,2
NUÑEZ,15375,2
NUÑEZ,15209,2
NUÑEZ,15984,2
NUÑEZ,15788,2
NUÑEZ,16953,2
NUÑEZ,17694,2
NUÑEZ,17923,2
NUÑEZ,17257,2
PALERMO,15940,2
PALERMO,16665,2
PALERMO,17114,2
PALERMO,16729,2
PALERMO,17146,2
PALERMO,17950,2
PALERMO,18279,2
PALERMO,18555,2
RECOLETA,14064,2
RECOLETA,14813,2
RECOLETA,14868,2
RECOLETA,15635,2
RECOLETA,16006,2
RECOLETA,16038,2
RECOLETA,15767,2
RECOLETA,16991,2
RETIRO,14382,2
RETIRO,16339,2
SAN CRISTOBAL,12087,2
SAN NICOLAS,12193,2
SAN NICOLAS,13167,2
SAN NICOLAS,13573,2
SAN NICOLAS,14289,2
VILLA CRESPO,13125,2
VILLA CRESPO,13446,2
VILLA CRESPO,14842,2
VILLA CRESPO,14925,2
VILLA CRESPO,14821,2
VILLA CRESPO,14800,2
VILLA CRESPO,14809,2
VILLA DEL PARQUE,10909,2
VILLA DEL PARQUE,12490,2
VILLA DEL PARQUE,13132,2
VILLA DEL PARQUE,12738,2
VILLA DEL PARQUE,13995,2
VILLA DEL PARQUE,14225,2
VILLA DEL PARQUE,14448,2
VILLA DEVOTO,12887,2
VILLA DEVOTO,12883,2
VILLA URQUIZA,14156,2
VILLA URQUIZA,14663,2
VILLA URQUIZA,14512,2
VILLA URQUIZA,14638,2
VILLA URQUIZA,14544,2
VILLA URQUIZA,15371,2
VILLA URQUIZA,15132,2
ALMAGRO,20163,2
ALMAGRO,19954,3
ALMAGRO,20666,3
ALMAGRO,20733,3
BALVANERA,17994,3
BALVANERA,19500,3
BALVANERA,20045,3
BALVANERA,20521,3
BELGRANO,23230,3
BELGRANO,22167,3
BELGRANO,23552,3
BELGRANO,21632,3
BELGRANO,23768,3
BELGRANO,23509,3
BELGRANO,25017,3
BELGRANO,26634,3
CABALLITO,20913,3
CABALLITO,19172,3
CABALLITO,18434,3
CABALLITO,19154,3
CABALLITO,21116,3
CABALLITO,21677,3
CABALLITO,22266,3
CABALLITO,22576,3
FLORES,17476,3
FLORES,19015,3
FLORES,18158,3
FLORES,20049,3
NUÑEZ,25211,3
NUÑEZ,24638,3
PALERMO,24785,3
PALERMO,21592,3
PALERMO,24093,3
PALERMO,23073,3
PALERMO,25874,3
PALERMO,26749,3
PALERMO,26118,3
PALERMO,26941,3
RECOLETA,21490,3
RECOLETA,22211,3
RECOLETA,22844,3
RECOLETA,22969,3
RECOLETA,23868,3
RECOLETA,23501,3
RECOLETA,23762,3
RECOLETA,24724,3
RETIRO,20527,3
RETIRO,23417,3
VILLA URQUIZA,21748,3
VILLA URQUIZA,21990,3
VILLA URQUIZA,22665,3
VILLA URQUIZA,24468,3
VILLA URQUIZA,22601,3
VILLA URQUIZA,23442,3
VILLA URQUIZA,23084,3